,Wilayah,Tingkat,Bergejala,Tanpa Gejala,Tanpa Riwayat,Konfirmasi,Sembuh,Meninggal,Rapid,Rapid Reaktif
0,Bangkalan,Kabupaten,622,955,583,1577,1385,152,18792,1737
1,Banyuwangi,Kabupaten,3587,1849,3036,5436,4810,518,0,0
2,Blitar,Kabupaten,1480,2989,2966,4469,3910,380,36734,813
3,Bojonegoro,Kabupaten,2047,165,1863,2212,2032,127,55806,1262
4,Bondowoso,Kabupaten,1529,628,1354,2157,1972,144,70550,750
5,Gresik,Kabupaten,67,5100,1680,5167,4727,344,32667,32667
6,Jember,Kabupaten,4436,2119,4435,6555,6048,419,94114,2137
7,Jombang,Kabupaten,3127,1261,4388,4388,3820,459,14962,0
8,Kediri,Kabupaten,1884,2133,2191,4017,3488,332,7595,560
9,Lamongan,Kabupaten,714,1852,2566,2566,2363,165,3376,2265
10,Lumajang,Kabupaten,2884,54,2663,2938,2636,254,13652,8388
11,Madiun,Kabupaten,1175,603,962,1778,1561,126,38230,1912
12,Magetan,Kabupaten,1792,814,1493,2606,2194,200,21097,330
13,Malang,Kabupaten,1464,930,1806,2394,2210,143,0,0
14,Mojokerto,Kabupaten,1186,886,1948,2072,1959,68,71782,19102
15,Nganjuk,Kabupaten,1413,1687,1396,3100,2731,271,66900,760
16,Ngawi,Kabupaten,593,801,905,1394,1216,105,76510,583
17,Pacitan,Kabupaten,701,1687,1097,2388,2248,60,7174,331
18,Pamekasan,Kabupaten,155,946,1101,1101,991,84,8505,305
19,Pasuruan,Kabupaten,72,3111,3183,3183,2836,236,29687,3326
20,Ponorogo,Kabupaten,1017,1771,1100,2788,2421,154,25368,664
21,Probolinggo,Kabupaten,1796,1299,1804,3095,2873,182,38954,2049
22,Sampang,Kabupaten,558,306,269,864,806,38,0,0
23,Sidoarjo,Kabupaten,18,10023,8044,10041,9343,598,65371,4145
24,Situbondo,Kabupaten,1686,716,767,2402,2191,184,24617,588
25,Sumenep,Kabupaten,755,962,1325,1717,1609,108,17500,1211
26,Trenggalek,Kabupaten,831,2109,1977,2940,2566,192,21415,1360
27,Tuban,Kabupaten,1747,1485,1381,3232,2780,351,17478,1579
28,Tulungagung,Kabupaten,1810,694,1830,2504,2327,62,36523,632
29,Batu,Kota,0,1318,1318,1318,1163,113,0,0
30,Blitar,Kota,643,1469,736,2112,1948,97,44700,7900
31,Kediri,Kota,1173,27,10,1200,1075,118,8633,696
32,Madiun,Kota,792,742,505,1534,1309,101,6463,373
33,Malang,Kota,3935,2110,4559,6045,5418,541,7664,665
34,Mojokerto,Kota,1089,1275,1288,2364,2120,166,7161,462
35,Pasuruan,Kota,643,662,1101,1305,1156,145,22202,2265
36,Probolinggo,Kota,1593,523,731,2116,1947,147,20656,1968
37,Surabaya,Kota,11663,9885,11663,21548,19999,1328,325891,30944
