,Wilayah,Tingkat,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0,Bangkalan,Kabupaten,1586,1828,1489,1291,1279,1137,828,562
1,Banyuwangi,Kabupaten,1348,1379,1248,1464,1531,1342,1046,642
2,Blitar,Kabupaten,1342,1311,1240,1356,1492,1420,1039,800
3,Bojonegoro,Kabupaten,1264,1334,1328,1491,1593,1398,934,658
4,Bondowoso,Kabupaten,1276,1270,1345,1454,1501,1396,1128,630
5,Gresik,Kabupaten,1499,1488,1586,1692,1491,1178,690,377
6,Jember,Kabupaten,1428,1456,1406,1435,1451,1327,931,566
7,Jombang,Kabupaten,1436,1494,1434,1460,1479,1254,879,565
8,Kediri,Kabupaten,1439,1363,1388,1434,1516,1307,919,635
9,Lamongan,Kabupaten,1273,1438,1284,1413,1544,1462,956,629
10,Lumajang,Kabupaten,1321,1357,1355,1439,1524,1430,1012,563
11,Madiun,Kabupaten,1242,1260,1090,1345,1572,1565,1118,808
12,Magetan,Kabupaten,1164,1243,1078,1281,1446,1601,1220,967
13,Malang,Kabupaten,1403,1414,1414,1452,1493,1319,920,585
14,Mojokerto,Kabupaten,1419,1438,1510,1554,1557,1235,821,467
15,Nganjuk,Kabupaten,1343,1369,1316,1452,1517,1330,1019,653
16,Ngawi,Kabupaten,1197,1300,1165,1325,1560,1569,1136,749
17,Pacitan,Kabupaten,1155,1272,1143,1234,1531,1491,1203,871
18,Pamekasan,Kabupaten,1475,1681,1579,1557,1399,1121,746,442
19,Pasuruan,Kabupaten,1432,1522,1645,1594,1515,1191,718,383
20,Ponorogo,Kabupaten,1154,1299,1144,1301,1508,1525,1181,888
21,Probolinggo,Kabupaten,1414,1435,1447,1525,1485,1286,890,518
22,Sampang,Kabupaten,1652,1865,1598,1379,1250,1087,742,427
23,Sidoarjo,Kabupaten,1503,1474,1636,1782,1634,1094,563,314
24,Situbondo,Kabupaten,1235,1338,1427,1478,1518,1422,1034,547
25,Sumenep,Kabupaten,1213,1318,1357,1546,1580,1438,1018,530
26,Trenggalek,Kabupaten,1212,1316,1258,1354,1560,1443,1067,791
27,Tuban,Kabupaten,1292,1399,1468,1508,1542,1362,860,570
28,Tulungagung,Kabupaten,1365,1316,1304,1431,1513,1349,990,731
29,Batu,Kota,1381,1484,1685,1463,1456,1291,772,468
30,Blitar,Kota,1412,1436,1449,1441,1469,1338,866,590
31,Kediri,Kota,1381,1484,1685,1463,1456,1291,772,468
32,Madiun,Kota,1288,1336,1362,1451,1495,1476,965,628
33,Malang,Kota,1294,1481,1999,1458,1360,1203,761,444
34,Mojokerto,Kota,1474,1387,1558,1576,1494,1324,746,441
35,Pasuruan,Kota,1571,1561,1631,1563,1464,1183,652,375
36,Probolinggo,Kota,1498,1534,1538,1565,1491,1218,745,411
37,Surabaya,Kota,1382,1403,1806,1734,1470,1192,674,339
