,Kode,Tingkat,Wilayah,Laki-laki,Perempuan,Total Jenis Kelamin
0,3501,KABUPATEN,PACITAN,293714,292396,586110
1,3502,KABUPATEN,PONOROGO,474257,475061,949318
2,3503,KABUPATEN,TRENGGALEK,367372,363753,731125
3,3504,KABUPATEN,TULUNGAGUNG,545254,544521,1089775
4,3505,KABUPATEN,BLITAR,616511,607234,1223745
5,3506,KABUPATEN,KEDIRI,825867,809427,1635294
6,3507,KABUPATEN,MALANG,1337805,1316643,2654448
7,3508,KABUPATEN,LUMAJANG,553574,565677,1119251
8,3509,KABUPATEN,JEMBER,1264968,1271761,2536729
9,3510,KABUPATEN,BANYUWANGI,855220,852894,1708114
10,3511,KABUPATEN,BONDOWOSO,382226,393925,776151
11,3512,KABUPATEN,SITUBONDO,336757,349210,685967
12,3513,KABUPATEN,PROBOLINGGO,568684,583853,1152537
13,3514,KABUPATEN,PASURUAN,803730,802239,1605969
14,3515,KABUPATEN,SIDOARJO,1048574,1034227,2082801
15,3516,KABUPATEN,MOJOKERTO,562947,556262,1119209
16,3517,KABUPATEN,JOMBANG,664605,653457,1318062
17,3518,KABUPATEN,NGANJUK,555280,548622,1103902
18,3519,KABUPATEN,MADIUN,368908,375442,744350
19,3520,KABUPATEN,MAGETAN,330024,340788,670812
20,3521,KABUPATEN,NGAWI,431970,438087,870057
21,3522,KABUPATEN,BOJONEGORO,653686,647949,1301635
22,3523,KABUPATEN,TUBAN,598339,599673,1198012
23,3524,KABUPATEN,LAMONGAN,672687,671478,1344165
24,3525,KABUPATEN,GRESIK,660283,650932,1311215
25,3526,KABUPATEN,BANGKALAN,522782,537595,1060377
26,3527,KABUPATEN,SAMPANG,481667,488027,969694
27,3528,KABUPATEN,PAMEKASAN,416961,433096,850057
28,3529,KABUPATEN,SUMENEP,542735,581701,1124436
29,3571,KOTA,KEDIRI,143616,143180,286796
30,3572,KOTA,BLITAR,74217,74932,149149
31,3573,KOTA,MALANG,419901,423909,843810
32,3574,KOTA,PROBOLINGGO,118829,120820,239649
33,3575,KOTA,PASURUAN,104046,103960,208006
34,3576,KOTA,MOJOKERTO,65685,66749,132434
35,3577,KOTA,MADIUN,95442,99733,195175
36,3578,KOTA,SURABAYA,1425168,1449146,2874314
37,3579,KOTA,BATU,107301,105745,213046
